underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2016-12-15,SPY,2016-12-16,65.000,C,161.8500,162.0000,161.8500,161.9400,305,10,161.5100,10,162.1400,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.1836,10,161.6700,10,162.3700,226.8700,226.8900,161.9580,0,
SPY,2016-12-15,SPY,2016-12-16,65.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9985,0.0100,226.9000,226.9100,226.1169,226.9100,7.0350,-0.0002,0.0000,-0.0050,0.0001,-0.0002,0,0.0000,5433,0.0100,226.8700,226.8900,0.0000,4827,
SPY,2016-12-15,SPY,2016-12-16,70.000,C,156.8400,156.8400,156.8400,156.8400,2,15,156.5100,15,157.1400,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.1978,10,156.6700,10,157.3700,226.8700,226.8900,156.8400,2,
SPY,2016-12-15,SPY,2016-12-16,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10232,0.0100,226.9000,226.9100,226.1169,226.9100,6.6224,-0.0002,0.0000,-0.0049,0.0001,-0.0002,0,0.0000,10750,0.0100,226.8700,226.8900,0.0000,12827,
SPY,2016-12-15,SPY,2016-12-16,75.000,C,152.3000,152.3000,152.3000,152.3000,200,15,151.6400,15,152.2600,226.9000,226.9100,226.1169,226.9100,19.2501,0.9408,0.0005,-0.0400,0.0135,0.1514,10,151.4000,10,152.1000,226.8700,226.8900,152.3000,735,
SPY,2016-12-15,SPY,2016-12-16,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11531,0.0100,226.9000,226.9100,226.1169,226.9100,6.2498,-0.0002,0.0000,-0.0050,0.0001,-0.0002,0,0.0000,6635,0.0100,226.8700,226.8900,0.0000,5735,
SPY,2016-12-15,SPY,2016-12-16,80.000,C,0.0000,0.0000,0.0000,0.0000,0,15,146.6300,15,147.2500,226.9000,226.9100,226.1169,226.9100,17.4617,0.9401,0.0005,-0.0300,0.0137,0.1681,10,146.4000,10,147.1000,226.8700,226.8900,0.0000,68,
SPY,2016-12-15,SPY,2016-12-16,80.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11577,0.0100,226.9000,226.9100,226.1169,226.9100,5.8961,-0.0003,0.0000,-0.0050,0.0001,-0.0002,0,0.0000,11181,0.0100,226.8700,226.8900,0.0000,6607,
SPY,2016-12-15,SPY,2016-12-16,85.000,C,0.0000,0.0000,0.0000,0.0000,0,15,141.5200,15,142.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.2402,10,141.4000,10,142.1000,226.8700,226.8900,0.0000,75,
SPY,2016-12-15,SPY,2016-12-16,85.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11577,0.0100,226.9000,226.9100,226.1169,226.9100,5.5618,-0.0003,0.0000,-0.0050,0.0001,-0.0002,0,0.0000,11086,0.0100,226.8700,226.8900,0.0000,5600,
SPY,2016-12-15,SPY,2016-12-16,90.000,C,0.0000,0.0000,0.0000,0.0000,0,15,136.5200,15,137.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.2543,10,136.4000,10,137.1000,226.8700,226.8900,0.0000,51,
SPY,2016-12-15,SPY,2016-12-16,90.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11433,0.0100,226.9000,226.9100,226.1169,226.9100,5.2502,-0.0003,0.0000,-0.0050,0.0001,-0.0002,0,0.0000,6619,0.0100,226.8700,226.8900,0.0000,15301,
SPY,2016-12-15,SPY,2016-12-16,92.000,C,0.0000,0.0000,0.0000,0.0000,0,15,134.6300,15,135.2500,226.9000,226.9100,226.1169,226.9100,13.9798,0.9399,0.0007,-0.0300,0.0137,0.2077,10,134.4000,10,135.1000,226.8700,226.8900,0.0000,3,
SPY,2016-12-15,SPY,2016-12-16,92.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10232,0.0100,226.9000,226.9100,226.1169,226.9100,5.1331,-0.0003,0.0000,-0.0050,0.0001,-0.0002,0,0.0000,6580,0.0100,226.8700,226.8900,0.0000,7924,
SPY,2016-12-15,SPY,2016-12-16,95.000,C,131.9300,131.9300,131.9300,131.9300,26,15,131.4600,15,132.2900,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.2684,10,131.4600,10,132.3100,226.8700,226.8900,131.9300,20,
SPY,2016-12-15,SPY,2016-12-16,95.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11556,0.0100,226.9000,226.9100,226.1169,226.9100,4.9609,-0.0003,0.0000,-0.0051,0.0001,-0.0002,0,0.0000,6618,0.0100,226.8700,226.8900,0.0000,49731,
SPY,2016-12-15,SPY,2016-12-16,97.000,C,0.0000,0.0000,0.0000,0.0000,0,15,129.5100,15,130.1400,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.2741,10,129.4000,10,130.1000,226.8700,226.8900,0.0000,170,
SPY,2016-12-15,SPY,2016-12-16,97.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9960,0.0100,226.9000,226.9100,226.1169,226.9100,4.8398,-0.0003,0.0000,-0.0050,0.0001,-0.0002,0,0.0000,5408,0.0100,226.8700,226.8900,0.0000,7139,
SPY,2016-12-15,SPY,2016-12-16,100.000,C,127.3000,127.3000,127.1800,127.1800,126,2,126.8000,2,127.0400,226.9000,226.9100,226.1169,226.9100,12.1078,0.9407,0.0008,-0.0100,0.0136,0.2339,10,126.6700,1,127.2700,226.8700,226.8900,127.2943,265,
SPY,2016-12-15,SPY,2016-12-16,100.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,8855,0.0100,226.9000,226.9100,226.1169,226.9100,4.6684,-0.0003,0.0000,-0.0049,0.0001,-0.0002,0,0.0000,5593,0.0100,226.8700,226.8900,0.0000,60115,
SPY,2016-12-15,SPY,2016-12-16,105.000,C,122.3000,122.3000,122.1700,122.1700,82,10,121.8000,22,122.0400,226.9000,226.9100,226.1169,226.9100,11.0912,0.9415,0.0008,-0.0100,0.0134,0.2501,10,121.6700,1,122.2400,226.8700,226.8900,122.2968,171,
SPY,2016-12-15,SPY,2016-12-16,105.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,10232,0.0100,226.9000,226.9100,226.1169,226.9100,4.4031,-0.0003,0.0000,-0.0050,0.0002,-0.0002,0,0.0000,6580,0.0100,226.8700,226.8900,0.0100,41961,
SPY,2016-12-15,SPY,2016-12-16,110.000,C,116.9600,116.9600,116.9600,116.9600,31,2,116.8000,2,117.0300,226.9000,226.9100,226.1169,226.9100,10.1633,0.9424,0.0009,-0.0050,0.0132,0.2661,1,116.5300,10,117.1000,226.8700,226.8900,116.9600,23,
SPY,2016-12-15,SPY,2016-12-16,110.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11397,0.0100,226.9000,226.9100,226.1169,226.9100,4.1503,-0.0004,0.0000,-0.0050,0.0002,-0.0002,0,0.0000,11222,0.0100,226.8700,226.8900,0.0000,32476,
SPY,2016-12-15,SPY,2016-12-16,115.000,C,0.0000,0.0000,0.0000,0.0000,0,15,111.5200,15,112.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.3249,10,111.6700,10,112.3700,226.8700,226.8900,0.0000,67,
SPY,2016-12-15,SPY,2016-12-16,115.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10260,0.0100,226.9000,226.9100,226.1169,226.9100,3.9076,-0.0004,0.0000,-0.0050,0.0002,-0.0003,0,0.0000,6600,0.0100,226.8700,226.8900,0.0000,15364,
SPY,2016-12-15,SPY,2016-12-16,120.000,C,107.2500,107.2500,106.0800,107.0000,1910,10,106.8100,22,107.0400,226.9000,226.9100,226.1169,226.9100,8.5532,0.9442,0.0010,-0.0150,0.0129,0.2978,10,106.6700,1,107.2500,226.8700,226.8900,106.8606,369,
